DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24

1,-110,-108,-95,-92,-88,-87,-85,-75,-73,-69,-67,-59,-51,-49,-47,-42,-39,-35,-36,-36,-32,-27,-29,-32
2,-30,-23,-34,-33,-29,-25,-16,-18,-16,-17,-16,-11,-9,-13,-14,-17,-21,-20,-16,-17,-18,-15,-11,-12
3,-15,-12,-12,-12,-10,-14,-16,-15,-14,-12,-10,-9,-9,-9,-5,-5,-4,-6,-4,-8,-13,-17,-18,-19
4,-19,-20,-21,-21,-17,-14,-11,-11,-6,-3,-1,0,-1,-4,-5,-1,0,0,3,1,-5,-5,-6,-4
5,-3,0,1,2,1,3,1,4,12,9,6,6,8,11,14,15,18,12,5,3,5,10,12,16

6,12,-7,-12,-12,-8,-10,-17,-20,-17,-17,-23,-25,-19,-17,-14,-9,-7,-4,-4,-6,-12,-18,-16,-11
7,-11,-13,-14,-13,-7,-7,-10,-14,-13,-12,-15,-10,-10,-9,-4,-3,-4,-3,-2,-4,-8,-11,-10,-10
8,-11,-13,-12,-11,-8,-9,-8,-8,-11,-13,-12,-13,-12,-14,-9,-10,-8,-7,-7,-7,-9,-7,-6,-7
9,-11,-10,-7,-7,-5,-5,-5,-7,-9,-9,-7,-4,-4,-5,-8,-9,-8,-4,0,1,2,5,6,7
10,2,-5,-5,-2,-1,2,2,0,-3,-4,-4,-6,-7,-4,-1,0,0,2,2,1,-3,-5,-5,0

11,3,5,6,6,5,3,0,-7,-10,-11,-12,-13,-9,-6,-4,-9,-10,-16,-15,-17,-15,-14,-17,-19
12,-26,-29,-24,-20,-16,-14,-20,-20,-14,-15,-14,-10,-9,-4,-1,-2,-3,-2,-4,-10,-13,-19,-11,-8
13,-13,-16,-16,-18,-17,-13,-14,-13,-15,-14,-18,-19,-17,-19,-13,-10,-8,-6,-5,-8,-8,-7,-6,-5
14,-5,-5,-5,-5,-2,-3,-1,-5,-4,-6,-8,-8,-12,-12,-14,-13,-14,-14,-13,-12,-14,-21,-19,-14
15,-14,-17,-19,-15,-9,-6,-9,-10,-12,-13,-14,-15,-14,-13,-11,-11,-10,-5,-5,-7,-11,-12,-12,-12

16,-11,-10,-6,-3,0,1,1,1,1,1,2,6,11,14,8,7,6,4,5,5,7,5,2,1
17,2,3,4,5,6,6,5,3,-1,3,4,2,-3,-8,-5,-3,-2,-2,-3,-4,-4,-3,-4,-1
18,0,-1,-2,-2,0,3,5,7,10,9,6,1,0,0,-1,-1,-3,-3,-1,-1,0,3,19,14
19,5,-2,-5,-9,-8,-8,-10,-10,-13,-8,-5,-5,-6,0,7,5,7,12,16,15,13,12,13,8
20,12,14,13,11,9,4,-3,-10,-22,-38,-53,-64,-63,-73,-84,-88,-93,-91,-82,-82,-86,-86,-81,-66

21,-56,-51,-50,-38,-36,-56,-52,-47,-43,-43,-49,-49,-49,-39,-35,-37,-38,-30,-34,-34,-34,-33,-36,-31
22,-30,-30,-28,-26,-30,-28,-29,-27,-26,-30,-30,-32,-31,-25,-19,-20,-22,-18,-18,-21,-27,-21,-22,-20
23,-17,-15,-13,-12,-16,-20,-19,-22,-20,-15,-12,-13,-17,-20,-22,-20,-21,-20,-17,-19,-22,-20,-15,-12
24,-10,-9,-11,-11,-12,-14,-13,-14,-11,-10,-9,-8,-6,-6,-7,-3,0,8,1,-6,6,5,1,-4
25,-6,-6,-7,-9,-10,-10,-8,-5,-1,0,-1,0,-1,-2,-1,-2,-2,-3,-4,-5,-5,-6,-6,-6

26,-4,-1,2,3,5,5,6,7,9,8,8,9,7,8,7,9,8,7,9,9,6,7,8,9
27,10,10,13,17,14,13,11,14,16,11,7,7,9,11,9,5,3,6,8,8,4,3,5,4
28,4,5,8,10,10,10,11,9,0,-8,-17,-21,-15,-7,-2,-1,-3,-6,-8,-9,-10,-10,-6,-3
29,-1,0,-2,-3,-7,-7,-7,-6,-4,-3,-3,0,1,1,-1,0,0,-1,-1,-2,-3,-1,0,2
30,3,5,5,5,3,3,4,3,1,0,-2,-4,-3,0,4,4,4,7,9,9,10,12,13,10

31,8,6,6,5,3,-1,-9,-12,-14,-16,-18,-23,-20,-13,-8,-11,-17,-21,-21,-23,-29,-34,-33,-36
