DAY,1,2,3,4,5,6,7,89,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24

1,-19,-25,-24,-25,-21,-24,-28,-34,-35,-45,-41,-27,-16,-16,-14,-9,-13,-16,-16,-11,-14,-13,-22,-22
2,-16,-15,-17,-19,-21,-29,-22,-24,-26,-23,-21,-26,-22,-16,-13,-13,-17,-22,-23,-21,-20,-19,-23,-22
3,-19,-15,-19,-26,-21,-17,-19,-31,-43,-41,-35,-26,-22,-20,-20,-20,-18,-20,-20,-20,-14,-16,-17,-19
4,-23,-18,-14,-12,-15,-23,-25,-28,-25,-23,-20,-15,-11,-14,-16,-14,-15,-17,-18,-15,-12,-12,-11,-18
5,-23,-29,-23,-18,-11,-14,-15,-12,-11,-18,-15,-16,-22,-22,-18,-11,-9,-18,-20,-19,-14,-14,-11,-12

6,-12,-16,-18,-17,-16,-18,-12,-13,-17,-16,-11,-11,-8,-9,-10,-13,-10,-18,-19,-19,-16,-13,-12,-16
7,-21,-19,-16,-15,-16,-16,-13,-15,-11,-16,-15,-19,-19,-19,-19,-12,-10,-12,-14,-14,-13,-10,-9,-8
8,-9,-7,-7,-6,-6,-6,-6,-8,-5,-2,-5,-4,-3,-3,-4,-3,-2,-1,-1,-3,-2,-3,0,4
95,7,9,7,2,0,-3,-9,-4,-3,-6,-2,-4,2,3,04,-1,-4,-5,-10,-10,-10,-9
10,-5,-7,-9,-8,-7,-8,-11,-15,-11,-9,-4,-1,-4,-5,-10,-13,-10,-11,-11,-11,-8,-4,-6,-7

11,-10,-11,-5,-4,-7,-10,-12,-13,-9,-14,-12,-11,-8,-6,-9,-8,-7,-8,-7,-6,-4,-1,1,4
124,7,9,8,8,6,6,32,1,3,1,0,0,-1,-1,-4,-4,0,0,0,-1,-1,0
131,1,2,-4,-5,-1,-2,-4,-3,-7,-7,-7,-4,-3,-1,11,3,3,3,3,2,-1,-1
144,6,6,6,6,5,6,78,7,8,7,5,3,2,44,3,5,7,6,4,1,-2
15,-3,-3,-1,1,5,7,9,71,-2,-1,-2,2,4,4,43,2,1,-1,-2,1,3,7

169,11,15,13,9,3,-2,0,-2,-2,0,0,-4,-4,-9,-10,-6,4,2,-4,-3,0,3,8
176,6,6,3,-5,-15,-26,-15,-17,-26,-22,-18,-20,-19,-21,-19,-18,-25,-24,-17,-12,-18,-13,-17
18,-21,-23,-27,-27,-21,-23,-23,-21,-15,-13,-11,-12,-14,-21,-21,-17,-16,-15,-16,-10,-1,2,-3,-14
19,-16,-14,-14,-17,-19,-21,-21,-19,-17,-12,-9,-10,-13,-16,-16,-15,-14,-15,-18,-15,-14,-11,-8,-8
20,-6,-6,-5,-9,-16,-21,-21,-22,-19,-15,-14,-13,-13,-13,-11,-10,-14,-15,-16,-12,-13,-9,-5,-6

21,-6,-5,-4,-5,-8,-8,-7,-7,-4,-1,-1,-1,-3,-6,-6,-5,-1,1,4,7,9,11,9,3
22,-2,-4,-6,-10,-14,-17,-17,-18,-21,-19,-11,-12,-11,-6,-7,-9,-12,-18,-16,-10,-8,-5,-4,-6
23,-5,-8,-7,-2,-3,-6,-6,-4,-3,1,7,6,8,8,7,5,-3,-13,-14,-12,-8,-5,-3,-4
24,-8,-14,-17,-13,-17,-26,-21,-19,-17,-18,-16,-15,-16,-15,-12,-13,-16,-16,-16,-14,-11,-8,-8,-13
25,-18,-19,-20,-20,-19,-18,-20,-20,-15,-10,-8,-7,-8,-10,-8,-8,-8,-9,-11,-10,-9,-6,-8,-13

26,-15,-16,-14,-13,-12,-12,-12,-6,-4,-3,-3,-1,-2,-2,-1,-10,1,-1,0,1,2,3,1
27,-1,-5,-7,-12,-8,-5,-7,-6,-5,-2,-2,0,-2,1,3,13,3,1,-6,-13,-14,-14,-14
28,-14,-15,-18,-20,-16,-12,-10,-9,-12,-14,-12,-14,-13,-13,-13,-14,-15,-18,-18,-16,-18,-11,-7,-6
