DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-12,-13,-16,-23,-29,-30,-28,-20,-18,-16,-12,-15,-13,-12,-13,-11,-13,-15,-13,-11,-11,-12,-11,-8
2,-4,-5,-8,-10,-11,-9,-11,-15,-14,-11,-11,-13,-17,-23,-28,-27,-24,-22,-19,-17,-16,-14,-14,-9
3,-6,-7,-6,-5,-6,-4,0,6,3,7,-5,-16,-22,-20,-17,-15,-15,-21,-27,-19,-19,-22,-19,-17
4,-11,-8,-4,1,12,11,8,3,-1,-2,-4,-4,-7,-11,-7,-4,-15,-15,-18,-23,-24,-28,-23,-22
5,-20,-18,-18,-18,-11,-6,-11,-10,-12,-10,-9,-5,-3,-2,-3,-3,-9,-16,-15,-10,-10,-14,-20,-33

6,-29,-29,-29,-22,-16,-15,-18,-21,-16,-19,-18,-16,-14,-19,-20,-15,-15,-19,-18,-15,-15,-16,-14,-13
7,-16,-17,-14,-13,-13,-15,-17,-15,-13,-11,-9,-11,-10,-17,-15,-14,-17,-18,-20,-20,-20,-22,-24,-21
8,-16,-17,-17,-14,-13,-13,-15,-12,-13,-20,-17,-17,-19,-18,-15,-18,-24,-22,-21,-19,-20,-24,-28,-31
9,-29,-25,-24,-22,-20,-17,-16,-14,-13,-12,-11,-14,-16,-17,-23,-21,-19,-19,-16,-13,-15,-17,-20,-19
10,-21,-21,-20,-18,-17,-16,-11,-5,-5,-7,-8,-10,-11,-16,-13,-10,-15,-22,-22,-23,-23,-20,-17,-17

11,-17,-13,-11,-9,-11,-13,-18,-15,-12,-8,-5,-2,-6,-12,-13,-10,-8,-10,-13,-14,-18,-20,-16,-14
12,-10,-10,-8,-8,-8,-8,-6,-2,1,1,0,-1,-3,-5,-6,-8,-8,-5,-4,-5,-7,-7,-7,-8
13,-6,-6,-3,-1,-2,-1,-1,1,0,-1,-2,-3,-4,0,2,0,-2,1,-2,0,-1,1,1,0
14,-8,-7,-3,-3,-3,-4,-2,-1,2,4,3,1,2,0,0,1,2,3,4,3,4,5,3,2
15,4,5,4,4,6,8,7,10,8,7,5,6,6,2,5,4,2,-2,-5,-3,-3,-5,-5,-4

16,2,4,2,2,5,7,8,10,9,6,5,4,5,5,7,8,6,5,6,4,5,2,0,1
17,3,2,-1,-2,-2,0,0,1,3,5,5,6,4,3,-2,-4,-3,1,4,6,8,7,10,18
18,21,24,27,32,31,17,10,3,-5,-13,-10,-8,-5,-15,-24,-22,-18,-17,-20,-20,-22,-18,-16,-17
19,-19,-23,-29,-33,-26,-21,-17,-18,-25,-21,-18,-15,-13,-16,-13,-12,-13,-12,-15,-16,-15,-15,-13,-14
20,-13,-14,-16,-14,-12,-11,-12,-7,-9,-13,-13,-12,-15,-15,-17,-13,-10,-12,-15,-13,-10,-9,-8,-10

21,-15,-13,-11,-9,-9,-7,-10,-11,-10,-11,-9,-9,-12,-12,-10,-5,3,-3,-8,-16,-19,-16,-16,-13
22,-12,-23,-29,-25,-13,-10,-9,-11,-13,-14,-14,-13,-17,-17,-13,-12,-12,-11,-9,-9,-11,-12,-11,-10
23,-12,-15,-17,-15,-11,-9,-9,-5,-3,-5,-3,-4,-7,-8,-8,-6,-5,-5,-6,-8,-8,-10,-9,-8
24,-9,-13,-16,-15,-13,-10,-9,-10,-10,-9,-7,-7,-7,-6,-5,-1,-1,-6,-9,-9,-10,-9,-6,-4
25,1,1,-4,-7,-10,-10,-10,-9,-5,-5,-3,-2,-1,-2,-1,0,1,0,-1,1,2,-2,-2,-1

26,3,2,0,1,1,0,-1,-1,3,1,5,11,12,5,-5,-6,-4,-14,-25,-25,-22,-10,-4,-3
27,-13,-22,-18,-18,-21,-17,-22,-28,-24,-22,-20,-14,-13,-15,-12,-11,-10,-11,-14,-14,-14,-16,-17,-15
28,-10,-9,-7,-8,-10,-11,-13,-12,-12,-14,-10,-10,-9,-8,-6,-8,-10,-9,-9,-8,-9,-14,-13,-10
29,-9,-11,-11,-11,-14,-14,-13,-12,-11,-10,-10,-6,-2,-5,-7,-4,-4,-5,-9,-7,-7,-7,-5,-4
30,-4,-5,-4,-1,2,3,4,4,1,4,10,13,13,3,0,-2,-2,-7,-7,-5,-7,-8,-8,-3

31,0,-1,0,-3,-2,-2,-3,3,5,-15,-10,-5,-9,-6,-6,-7,-24,-28,-30,-20,-25,-22,-23,-20
