DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24

1,-15,-18,-20,-19,-19,-22,-21,-23,-25,-20,-19,-22,-20,-17,-22,-21,-19,-18,-22,-22,-25,-20,-20,-18
2,-17,-21,-23,-22,-18,-19,-19,-15,-11,-11,-10,-7,-7,-8,-10,-9,-11,-12,-11,-11,-12,-12,-12,-12
3,-12,-12,-14,-13,-8,-3,2,3,1,-1,-2,-5,-6,-5,-4,-4,-3,-2,-3,-5,-8,-8,-6,-7
4,-7,-6,-2,4,7,-8,-31,-39,-37,-39,-43,-44,-31,-22,-22,-24,-23,-21,-20,-21,-20,-18,-12,-11
5,-8,-7,-9,-7,-5,-7,-3,3,3,-1,2,3,2,2,2,1,1,11,12,13,3,-1,1,-1

6,0,-1,-4,-7,-7,-5,0,4,6,5,4,-4,-11,-14,-15,-17,-14,-10,-12,-14,-14,-13,-13,-12
7,-12,-15,-14,-12,-10,-5,-1,-2,-1,3,0,-1,0,0,0,1,-2,-1,-2,3,-7,-7,-4,-11
8,-12,-1,-5,-11,-14,-13,-10,-8,-12,-18,-16,-7,-2,-2,-2,-3,-3,3,3,-1,-2,-3,-14,-22
9,-23,-22,-24,-20,-25,-17,-16,-17,-13,-14,-21,-21,-10,-10,-9,-13,-11,-9,-10,-10,-10,-5,-5,-3
10,0,2,-1,-2,-1,2,4,9,11,13,13,13,13,12,13,15,16,15,13,12,11,9,9,7

11,4,7,7,6,5,6,6,-1,-3,-5,2,4,8,7,-1,-1,-5,-1,-15,-16,-12,-6,-2,-1
12,0,-5,1,0,-4,-4,-3,-6,-4,-3,-5,-6,-7,-7,-6,-5,-4,-2,-2,-2,-1,0,0,-1
13,1,3,2,0,-2,-3,1,6,7,4,2,2,3,2,0,0,-1,-3,-3,-1,4,7,5,4
14,1,-2,-5,-9,-15,-18,-18,-17,-16,-14,-11,-5,-6,-10,-12,-13,-16,-23,-25,-23,-25,-23,-21,-23
15,-22,-19,-17,-14,-14,-14,-12,-10,-7,-6,-5,-2,3,4,7,6,2,-2,-4,-4,-4,-2,-2,0

16,2,2,2,3,2,1,2,-1,-4,-6,-6,-4,-1,-1,-1,-1,-2,-1,4,4,2,-1,0,2
17,4,4,5,6,7,6,5,2,2,3,4,4,2,2,2,1,1,2,1,2,4,5,4,4
18,7,8,9,11,10,10,11,15,19,17,16,12,8,6,7,9,15,16,17,24,28,32,28,20
19,22,19,6,-6,-22,-27,-19,-18,-19,-11,-6,-7,-6,-5,-4,2,3,3,0,3,-3,5,11,16
20,10,-10,-17,-29,-39,-35,-39,-32,-24,-26,-25,-28,-28,-23,-21,-21,-22,-25,-25,-22,-22,-14,-14,-14

21,-12,-11,-13,-11,-11,-10,-8,-7,-5,-6,-5,-7,-1,-4,0,8,10,3,-7,-12,-23,-37,-36,-33
22,-28,-24,-27,-33,-46,-35,-30,-32,-42,-45,-44,-39,-27,-28,-42,-49,-50,-41,-43,-39,-38,-34,-32,-46
23,-38,-27,-27,-29,-31,-37,-38,-33,-44,-39,-36,-26,-25,-33,-37,-36,-39,-37,-35,-38,-48,-47,-43,-43
24,-36,-30,-35,-36,-39,-37,-27,-32,-38,-38,-31,-27,-23,-23,-23,-25,-30,-35,-42,-40,-34,-35,-36,-31
25,-26,-28,-34,-37,-30,-23,-25,-28,-26,-23,-21,-18,-22,-22,-20,-17,-18,-20,-25,-26,-29,-29,-30,-29

26,-26,-22,-23,-22,-20,-18,-14,-16,-16,-19,-19,-18,-14,-16,-16,-15,-14,-16,-23,-28,-29,-24,-19,-16
27,-16,-19,-21,-24,-24,-25,-24,-25,-22,-23,-21,-20,-18,-18,-16,-13,-13,-11,-14,-18,-17,-14,-12,-11
28,-7,-7,-7,-7,-12,-17,-20,-21,-22,-22,-19,-18,-12,-11,-9,-5,-8,-12,-13,-13,-16,-20,-23,-23
29,-21,-15,-12,-11,-10,-10,-8,-7,-12,-17,-14,-11,-8,-8,-10,-5,-2,0,-2,-6,-10,-14,-18,-19
30,-15,-14,-9,-5,-6,-7,-7,-6,-7,-8,-3,-3,-2,-2,0,4,6,7,0,-3,-4,1,2,
