DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-22,-21,-22,-23,-23,-22,-21,-23,-27,-26,-21,-25,-29,-30,-31,-34,-28,-22,-13,-10,-11,-12,-9,-21
2,-22,-18,-15,-15,-17,-21,-23,-24,-20,-16,-15,-16,-20,-28,-35,-39,-35,-31,-28,-24,-19,-21,-29,-31
3,-27,-24,-26,-32,-38,-42,-42,-46,-50,-42,-45,-36,-36,-33,-33,-35,-32,-31,-27,-24,-24,-23,-21,-17
4,-17,-20,-20,-18,-18,-23,-27,-28,-27,-23,-19,-17,-14,-11,-13,-14,-12,-10,-10,-11,-11,-12,-10,-9
5,-10,-9,-9,-11,-11,-14,-16,-16,-17,-15,-12,-13,-10,-7,-7,-8,-6,-5,-5,-7,-6,-5,-4,-5

6,-8,-8,-7,-4,-4,-6,-6,-10,-11,-15,-14,-12,-5,-4,-5,-7,-6,-6,-6,-5,-5,-5,-5,-9
7,-9,-8,-7,-5,-5,-5,-2,1,0,-1,1,1,3,6,4,-3,-4,-3,-4,-4,-1,1,2,0
8,-1,-3,-5,-4,-2,-2,-2,-2,0,1,1,-1,-1,-3,-3,-4,-5,-5,-4,-3,-2,-2,0,0
9,1,1,2,3,3,5,9,16,13,6,-3,-8,-6,-3,-2,-4,-4,-2,-2,2,4,4,2,2
10,1,1,-3,1,-6,-8,-3,-3,-6,-5,-6,-16,-20,-20,-34,-49,-56,-59,-54,-49,-43,-37,-34,-46

11,-53,-45,-36,-32,-32,-33,-32,-31,-28,-27,-28,-23,-19,-14,-14,-14,-12,-16,-14,-13,-9,-6,-5,-6
12,-6,-5,-1,0,-3,-19,-12,-8,-5,-5,-10,-16,-14,-13,-14,-15,-20,-22,-23,-25,-25,-21,-16,-19
13,-19,-16,-19,-19,-18,-19,-16,-19,-25,-21,-19,-20,-16,-18,-16,-18,-20,-16,-15,-16,-20,-24,-21,-15
14,-11,-13,-16,-14,-12,-11,-13,-15,-20,-15,-17,-14,-10,-9,-9,-12,-15,-11,-12,-10,-9,-10,-13,-12
15,-13,-12,-12,-13,-13,-13,-11,-15,-18,-17,-17,-20,-16,-11,-10,-10,-12,-8,-5,-5,-5,-7,-6,-7

16,-5,-6,-6,-6,-6,-8,-9,-9,-7,-3,-1,-2,1,4,3,1,1,2,2,-1,0,-1,-4,-4
17,0,-1,-1,3,1,-2,-3,-5,-5,-4,-3,-5,-3,-2,-2,-5,-6,-9,-9,-10,-7,-7,-7,-7
18,-7,-8,-7,-4,-3,-4,-3,-2,-3,-3,-4,-7,-3,-2,-3,-4,-3,0,0,1,3,2,2,0
19,2,3,3,3,1,0,1,2,2,3,5,8,10,10,8,10,10,8,7,8,8,7,5,9
20,11,11,10,10,10,12,12,12,13,12,10,11,7,5,4,5,4,6,8,9,6,5,2,-2

21,-2,-3,-4,-5,-3,-2,4,3,1,6,12,9,11,11,10,10,10,7,2,-3,-6,-9,-5,-4
22,-4,-4,-7,-5,-4,1,4,3,-1,-3,4,7,12,6,0,-2,-5,-7,-6,-12,-3,-9,-2,-1
23,-12,-24,-27,-26,-25,-27,-26,-22,-21,-20,-16,-13,-12,-11,-12,-16,-14,-13,-14,-11,-11,-9,-3,-5
24,-11,-10,-9,-6,-10,-13,-21,-28,-22,-21,-23,-33,-31,-32,-30,-38,-34,-28,-28,-22,-19,-22,-23,-34
25,-35,-31,-37,-41,-40,-46,-44,-37,-32,-30,-30,-30,-25,-23,-22,-26,-28,-28,-27,-28,-27,-28,-24,-20

26,-19,-23,-24,-27,-31,-29,-29,-26,-24,-19,-17,-13,-14,-11,-13,-17,-18,-17,-20,-19,-18,-16,-18,-19
27,-16,-14,-14,-18,-23,-23,-19,-21,-22,-22,-21,-20,-15,-10,-9,-14,-17,-15,-13,-13,-11,-11,-10,-11
28,-13,-14,-13,-12,-13,-13,-12,-14,-16,-15,-13,-11,-6,-4,-4,-4,-3,-5,-4,-3,-6,-13,-16,-15
29,-11,-11,-12,-14,-17,-15,-12,-13,-17,-17,-18,-14,-7,-5,-3,-6,-7,-7,-4,-4,-1,-2,-2,-3
30,-8,-7,-6,-8,-9,-9,-8,-8,-9,-9,-7,-7,-6,-5,-2,-1,-1,0,0,-2,-4,-4,-2,-1
