DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24

1,1,7,10,12,7,2,-1,2,12,16,12,12,9,10,11,12,8,8,9,11,10,8,6,-5
2,-6,0,5,5,0,1,2,4,8,11,12,8,9,7,2,-1,2,5,5,6,6,6,3,4
3,4,4,5,3,3,0,0,0,-1,-1,-4,0,1,-2,-4,-1,-1,2,2,3,1,-1,1,1
4,-2,-5,-8,-7,-7,-6,-4,-4,-4,-3,-2,-1,0,-1,-2,-4,-5,-4,-2,2,3,2,2,1
5,2,5,9,9,7,6,5,1,-2,-3,-4,1,3,6,5,3,3,2,2,2,1,4,6,7

6,11,17,23,24,22,21,20,23,21,26,28,27,25,24,26,24,4,-31,-40,-66,-90,-98,-94,-86
7,-83,-69,-69,-73,-76,-76,-69,-71,-71,-68,-62,-59,-48,-41,-42,-46,-51,-47,-48,-44,-45,-47,-48,-46
8,-49,-48,-44,-40,-38,-37,-39,-33,-30,-27,-23,-21,-22,-26,-30,-32,-31,-29,-26,-24,-27,-26,-24,-23
9,-24,-20,-14,-15,-21,-21,-22,-22,-22,-19,-17,-19,-20,-22,-25,-25,-26,-25,-22,-19,-24,-29,-33,-34
10,-31,-21,-19,-22,-23,-25,-22,-25,-26,-28,-29,-28,-24,-20,-19,-16,-18,-20,-19,-18,-19,-20,-15,-16

11,-15,-12,-10,-12,-12,-13,-7,-14,-15,-13,1,20,23,6,-5,1,6,4,5,5,-17,-15,-13,-12
12,-13,-6,-4,-8,-9,-9,-11,-10,-9,-9,-8,-8,-7,-6,-8,-7,-10,-15,-20,-22,-18,-18,-18,-16
13,-12,-7,-5,-5,-5,-5,-6,-4,-2,-2,-3,-6,-7,-7,-6,-5,-6,-6,-5,-2,-4,-5,-7,-8
14,-10,-9,-7,-6,-8,-9,-9,-9,-9,-7,-4,-3,-2,-3,3,5,5,19,45,37,7,-4,-13,-21
15,-30,-22,-19,-29,-36,-38,-42,-50,-43,-32,-31,-30,-27,-26,-23,-16,-16,-17,-20,-30,-31,-30,-40,-46

16,-40,-39,-34,-28,-27,-30,-30,-34,-26,-16,-21,-29,-27,-24,-20,-17,-18,-16,-17,-22,-36,-47,-49,-56
17,-52,-45,-46,-51,-50,-44,-34,-30,-24,-28,-32,-37,-36,-29,-24,-24,-26,-26,-24,-24,-25,-28,-30,-29
18,-27,-27,-27,-25,-22,-17,-13,-15,-14,-22,-21,-16,-18,-22,-24,-25,-23,-21,-24,-28,-29,-28,-26,-28
19,-27,-24,-20,-19,-23,-23,-24,-37,-44,-44,-44,-39,-31,-32,-34,-33,-32,-28,-25,-25,-29,-25,-23,-22
20,-21,-22,-22,-23,-21,-21,-23,-22,-19,-15,-17,-18,-19,-15,-14,-18,-29,-38,-34,-38,-40,-43,-40,-37

21,-34,-29,-23,-20,-20,-17,-16,-17,-12,-14,-17,-14,-11,-4,0,-2,-9,-9,-4,-3,-3,-7,-11,-13
22,-12,-10,-4,-2,-1,1,1,0,1,1,3,1,-5,-4,-4,-5,-8,-7,-8,-7,-6,-8,-5,-2
23,-6,-1,2,5,2,-9,-14,-13,-7,-2,-8,-10,-11,-11,-8,-4,-3,2,4,3,3,-5,-7,-9
24,-13,-16,-12,-8,-6,-3,0,0,4,5,5,4,3,5,3,4,1,-2,-3,0,2,2,-2,-6
25,-12,-19,-23,-19,-16,-13,-11,-9,-4,-3,-2,-4,-6,-7,-6,-5,-4,-4,-5,-4,-3,-3,-3,-3

26,-3,-4,-2,0,0,-1,1,2,5,7,7,6,6,7,8,12,13,12,13,11,11,14,15,17
27,12,10,11,11,14,12,8,15,11,-4,1,5,2,4,5,6,6,-7,-2,-1,2,1,-2,-3
28,2,8,9,2,-9,-12,-8,-5,-3,-4,-3,-4,-3,-3,0,5,6,5,2,0,-1,-5,-1,0
29,-4,-11,-15,-15,-12,-7,-10,-11,-7,-9,-8,-11,-14,-15,-8,-5,-11,-13,-9,-7,-8,-9,-13,-13
30,-10,-10,-12,-6,-3,-1,-2,-3,0,1,-2,-10,-19,-19,-15,-11,-15,-15,-16,-16,-12,-10,-8,-8

31,-13,-14,-11,-7,-5,-6,-6,-9,-6,-6,-8,-9,-8,-9,-6,-3,-2,-4,-3,-4,-3,-4,-8,-8
