DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,5,5,7,5,1,-2,-5,-6,-6,-8,-8,-9,-8,-10,-6,-1,-1,-2,-2,-5,-1,0,0,0
2,3,2,6,5,3,1,0,-1,-2,-3,-1,0,-1,-1,0,3,2,3,3,2,1,2,4,4
3,3,2,2,2,3,5,7,7,6,8,9,7,5,5,5,8,4,6,5,10,16,12,8,4
4,12,16,9,-4,-5,-4,-4,-4,-4,-6,-4,-1,1,2,4,6,6,8,4,1,1,4,5,7
5,7,9,14,12,15,16,14,11,9,10,10,10,9,8,10,17,13,15,16,13,13,13,17,10

6,4,5,9,13,15,13,14,15,12,13,13,14,16,14,13,13,11,12,14,17,16,18,18,15
7,14,11,9,8,9,8,9,10,10,10,11,13,12,12,12,15,16,17,16,11,10,14,15,14
8,15,15,16,15,15,10,5,7,9,7,9,10,11,12,14,15,15,17,15,18,19,21,19,15
9,17,20,14,8,3,6,8,8,3,0,2,5,7,7,6,10,12,14,28,33,29,30,35,29
10,6,-4,-13,-23,-33,-33,-31,-30,-30,-23,-16,-11,-7,-6,-5,-5,-7,-3,1,4,17,26,24,18
