DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,10,9,6,2,1,4,9,14,11,7,6,9,12,10,16,15,15,14,11,9,9,11,11,11
2,9,8,8,10,8,11,11,13,9,7,5,4,7,10,10,5,4,6,5,4,3,2,4,6
3,6,6,6,5,3,2,3,5,5,7,8,13,16,17,18,16,14,10,10,9,9,12,11,20
4,26,35,34,32,37,32,22,16,2,-11,-13,-24,-20,-19,-30,-30,-25,-25,-23,-19,-15,-13,-7,-10
5,-12,-11,-5,-5,-14,-20,-17,-21,-17,-13,-14,-17,-18,-18,-18,-11,-10,-11,-13,-12,-12,-9,-11,-14

6,-14,-12,-7,-4,-5,-5,-2,-4,-6,-13,-14,-12,-9,-8,-8,-6,-6,-7,-12,-10,-9,-6,-7,-6
7,-5,-6,-5,-6,-5,-4,-4,-5,-9,-11,-9,-9,-11,-12,-10,-8,-8,-5,-2,1,0,0,0,-2
8,-5,-9,-9,-9,-6,-3,0,0,-2,-4,-3,-1,2,5,7,10,7,3,3,6,11,13,12,8
9,5,4,2,1,1,4,3,4,5,4,2,3,1,-1,1,2,2,5,5,3,1,-1,0,3
10,3,3,5,4,4,4,5,2,1,1,2,1,1,5,8,13,13,14,14,17,17,14,9,4

11,2,7,13,12,8,-1,-1,1,5,6,9,9,10,11,11,13,10,13,14,6,2,10,13,14
12,12,5,4,1,3,3,4,3,0,4,6,11,11,9,9,10,10,10,8,2,-2,-3,-1,-2
13,-9,-8,-4,-1,1,0,0,0,1,1,2,0,-1,-2,1,4,4,4,0,-2,1,4,6,4
14,-1,-4,-6,-3,-2,-4,-4,-3,-2,-2,1,3,2,-2,0,2,1,0,-4,-3,1,5,7,4
15,4,2,3,1,2,2,4,6,7,4,7,9,8,4,3,5,7,7,6,10,12,13,13,13

16,14,15,11,9,10,8,5,0,-1,4,10,13,10,5,6,8,8,6,5,5,5,8,6,8
17,8,5,9,6,3,4,7,9,-5,-16,-24,-18,-13,-15,-14,-13,-14,-17,-24,-20,-16,-16,-20,-20
18,-18,-17,-8,-12,-12,-10,-11,-15,-16,-12,-8,-8,-12,-16,-24,-18,-14,-17,-26,-24,-19,-8,-6,-9
19,-12,-15,-13,-14,-13,-20,-22,-17,-35,-28,-18,-19,-17,-20,-19,-19,-20,-15,-16,-14,-13,-17,-13,-19
20,-26,-26,-18,-30,-32,-29,-27,-27,-21,-20,-21,-19,-16,-17,-15,-18,-18,-17,-15,-18,-16,-21,-20,-17

21,-13,-12,-10,-9,-9,-9,-9,-10,-13,-15,-16,-12,-8,-6,-7,-7,-6,-4,-2,-5,-5,-3,0,0
22,-1,-8,-17,-15,-20,-17,-29,-30,-26,-25,-25,-24,-25,-23,-20,-16,-8,1,6,4,-3,-7,-14,-18
23,-16,-22,-22,-22,-26,-30,-35,-34,-35,-33,-31,-37,-48,-45,-38,-37,-40,-40,-36,-38,-33,-32,-37,-37
24,-34,-29,-19,-19,-24,-27,-27,-32,-30,-24,-23,-27,-30,-28,-23,-13,-11,-10,-10,-8,-9,-14,-16,-16
25,-16,-14,-10,-10,-11,-10,-11,-12,-8,-4,-1,-1,-2,-5,-6,-5,-3,-3,-5,-5,-8,-10,-8,-8

26,-7,-7,-4,-4,-4,-4,-6,-8,-5,-3,-3,-4,-5,-4,-5,-2,1,-1,-2,-4,-5,-4,-4,-4
27,-4,-4,-6,-6,-5,-1,1,-2,-2,-3,-9,-10,-4,-1,2,0,-4,-12,-20,-30,-35,-38,-38,-35
28,-30,-27,-23,-20,-19,-20,-19,-19,-19,-18,-17,-17,-16,-13,-12,-13,-16,-13,-9,-6,-4,-6,-6,-6
29,-3,2,6,7,6,1,-3,-4,1,6,5,0,-3,-1,3,3,4,13,15,10,-4,-5,-3,-4
30,-4,-7,-8,-7,-5,-5,-4,-2,-1,-1,-1,0,3,6,7,9,8,8,7,7,6,7,8,6

31,4,5,15,17,18,26,59,36,2,-29,-39,-50,-49,-48,-47,-47,-47,-41,-43,-46,-42,-35,-30,-30

