DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-30,-32,-29,-25,-22,-16,-14,-15,-10,-18,-32,-35,-25,-27,-29,-29,-25,-21,-18,-18,-18,-22,-25,-22
2,-16,-13,-18,-23,-32,-24,-23,-30,-30,-37,-32,-26,-22,-22,-23,-19,-18,-16,-18,-25,-25,-21,-19,-17
3,-17,-22,-17,-15,-16,-17,-14,-13,-12,-13,-16,-20,-21,-19,-16,-13,-14,-13,-12,-12,-13,-11,-6,-8
4,-15,-17,-17,-19,-16,-17,-15,-10,-9,-9,-8,-5,-10,-14,-12,-6,-1,3,-4,-10,-5,-9,-11,-15
5,-13,-12,-16,-17,-17,-17,-16,-17,-12,-8,-7,-8,-13,-17,-16,-12,-11,-10,-18,-19,-17,-14,-12,-8

6,-5,-4,-3,-1,5,-1,-3,-4,-3,-2,-2,-3,1,-8,-15,-15,-10,-10,-11,-11,-11,-11,-10,-2
7,25,32,29,20,3,-5,-2,-16,-23,-23,-22,-21,-12,-8,-8,-11,-10,-10,-11,-7,-8,-17,-43,-84
8,-125,-142,-128,-114,-124,-110,-108,-108,-90,-73,-63,-63,-96,-120,-122,-118,-110,-124,-114,-113,-104,-102,-102,-98
9,-93,-92,-81,-76,-71,-71,-70,-69,-68,-64,-64,-62,-61,-63,-62,-58,-55,-53,-54,-55,-55,-53,-51,-53
10,-53,-53,-52,-50,-45,-43,-43,-41,-40,-39,-39,-39,-40,-42,-40,-38,-36,-36,-37,-37,-41,-42,-47,-41

11,-41,-38,-35,-31,-30,-31,-34,-36,-31,-26,-28,-25,-23,-22,-22,-22,-22,-23,-24,-25,-26,-25,-24,-29`
12,-24,-25,-22,-18,-14,-13,-14,-8,-10,-14,-19,-30,-35,-35,-30,-24,-22,-22,-19,-18,-7,-4,-9,-25
13,-50,-42,-35,-33,-38,-41,-39,-41,-39,-30,-26,-22,-21,-22,-21,-23,-25,-23,-23,-24,-26,-26,-25,-22
14,-24,-17,-12,-14,-15,-17,-18,-20,-18,-11,-11,-4,9,5,0,-28,-38,-42,-46,-47,-53,-45,-35,-35
15,-42,-40,-37,-36,-39,-34,-33,-34,-27,-31,-23,-30,-26,-30,-34,-36,-33,-26,-24,-36,-34,-32,-28,-32

16,-35,-41,-38,-40,-47,-50,-47,-42,-36,-37,-31,-30,-27,-31,-33,-35,-38,-39,-37,-36,-33,-27,-27,-28
17,-25,-27,-28,-28,-27,-27,-29,-20,-17,-15,-12,-15,-17,-27,-30,-30,-38,-39,-34,-30,-29,-26,-23,-19
18,-19,-21,-24,-27,-29,-28,-29,-37,-43,-29,-27,-33,-37,-35,-31,-27,-23,-26,-31,-26,-25,-26,-21,-22
19,-17,-16,-14,-12,-14,-17,-18,-19,-15,-14,-16,-21,-21,-19,-15,-13,-16,-20,-20,-23,-26,-29,-32,-31
20,-26,-30,-32,-29,-28,-27,-28,-28,-26,-23,-20,-25,-25,-23,-20,-15,-16,-16,-16,-16,-13,-8,-6,-7

21,-9,-12,-12,-15,-16,-20,-22,-22,-22,-22,-20,-18,-16,-14,-17,-14,-12,-8,-9,-15,-20,-24,-24,-26
22,-24,-25,-22,-19,-15,-16,-18,-22,-17,-11,-13,-13,-15,-10,-8,-8,-11,-18,-25,-26,-25,-21,-18,-15
23,-16,-15,-11,-8,-8,-16,-21,-19,-20,-13,-8,-7,-10,-6,-5,-4,-8,-11,-14,-19,-18,-15,-14,-11
24,-11,-11,-7,-7,-7,-7,-5,-3,-2,-1,2,2,-2,-5,-6,-4,3,10,9,3,-1,3,3,-2
25,-12,-14,-10,-11,-12,-13,-14,-13,-12,-10,-9,-10,-11,-11,-10,-8,-8,-5,-3,-2,-2,2,3,1

26,2,0,0,0,0,-1,-2,-2,-1,0,2,3,4,4,6,7,6,7,7,6,7,12,13,14
27,16,4,4,10,18,22,18,-8,-30,-29,-23,-20,-29,-50,-51,-45,-36,-29,-23,-30,-46,-56,-60,-54
28,-44,-55,-63,-66,-60,-66,-76,-72,-74,-75,-64,-53,-50,-52,-57,-56,-50,-47,-47,-45,-45,-49,-50,-46
29,-45,-44,-41,-38,-33,-38,-36,-30,-28,-30,-28,-28,-25,-29,-30,-32,-32,-33,-36,-33,-32,-31,-31,-30
30,-29,-28,-25,-21,-22,-31,-34,-30,-34,-31,-29,-26,-26,-27,-32,-30,-31,-34,-36,-33,-28,-24,-29,-29

