DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24

1,-12,-12,-18,-23,-28,-34,-38,-40,-46,-59,-50,-40,-35,-40,-38,-36,-26,-14,-16,-21,-21,-34,-37,-38
2,-39,-57,-57,-53,-51,-50,-41,-36,-32,-31,-31,-29,-26,-28,-20,-20,-25,-31,-26,-21,-20,-24,-31,-28
3,-23,-25,-37,-44,-50,-43,-31,-37,-40,-42,-40,-46,-44,-37,-38,-38,-38,-38,-38,-37,-40,-46,-47,-37
4,-44,-39,-27,-26,-26,-28,-39,-36,-31,-29,-34,-35,-36,-35,-35,-35,-32,-30,-26,-23,-31,-29,-29,-28
5,-28,-27,-31,-30,-31,-31,-27,-25,-26,-30,-32,-29,-24,-23,-24,-20,-22,-26,-31,-38,-35,-26,-25,-27

6,-24,-23,-26,-28,-27,-25,-25,-30,-38,-37,-29,-26,-29,-29,-28,-23,-21,-18,-16,-11,-9,-9,-8,-12
7,-16,-16,-19,-24,-21,-18,-14,-13,-16,-17,-15,-20,-24,-24,-18,-19,-23,-25,-24,-21,-15,-13,-13,-15
8,-17,-11,-18,-23,-25,-27,-29,-26,-30,-32,-33,-32,-32,-28,-29,-31,-33,-28,-22,-14,-12,-11,-13,-14
9,-11,-10,-10,-12,-14,-14,-14,-13,-13,-13,-13,-14,-11,-10,-8,-9,-7,-5,-4,-4,-5,-7,-9,-11
10,-10,-9,-9,-10,-13,-16,-14,-12,-10,-11,-12,-12,-12,-11,-11,-11,-11,-8,-6,-6,-6,-8,-9,-6

11,-5,-4,-4,-8,-11,-10,-9,-10,-10,-11,-8,-7,-9,-11,-11,-10,-11,-12,-11,-9,-8,-7,-6,-2
12,4,7,5,3,2,4,3,5,3,2,7,6,4,3,0,0,4,5,5,5,5,1,-2,-2
13,-1,-5,-12,-18,-19,-18,-14,-13,-17,-12,-9,-5,-3,-3,-1,-2,-5,-3,0,2,1,1,0,-5
14,-9,-12,-14,-11,-4,-3,-4,-2,-2,-2,3,1,-1,-3,-6,-8,-7,-2,-2,-4,-16,-22,-21,-22
15,-25,-30,-34,-33,-31,-32,-33,-32,-31,-28,-23,-17,-12,-6,-5,-3,-1,2,3,4,4,2,2,2

16,4,1,-2,-3,-4,-4,-3,-1,1,0,2,3,5,6,6,6,3,1,1,0,0,-1,-2,-2
17,-1,0,5,8,11,13,12,12,10,15,14,13,14,13,12,10,9,8,7,7,5,6,7,5
18,0,3,4,9,11,9,5,4,4,-1,-12,-16,-10,-4,-6,-7,-10,-12,-13,-9,-5,-2,0,2
19,4,5,5,4,5,7,9,4,-16,-33,-35,-30,-25,-24,-22,-12,-4,6,8,12,15,19,12,12
20,13,-10,-30,-31,-27,-25,-21,-23,-27,-24,-23,-21,-20,-22,-21,-18,-18,-13,-8,-7,-4,0,-1,-2

21,-7,-12,-10,-9,-10,-12,-13,-13,-10,-11,-10,-8,-6,-9,-8,-5,-2,1,0,4,6,7,6,4
22,4,0,-2,-4,-4,-5,-6,-7,-8,-6,-4,-4,-4,-3,0,3,4,5,4,2,2,3,3,2
23,2,2,1,1,6,7,6,6,7,5,2,2,3,5,7,9,13,13,12,13,14,16,15,13
24,11,8,6,8,11,11,13,11,9,5,5,8,10,13,11,11,11,13,10,3,-2,-2,-5,-8
25,-8,-16,-27,-31,-22,-12,-5,-4,-2,0,-6,-20,-25,-17,-11,-12,-13,-7,-14,-20,-31,-22,-20,-20

26,-21,-26,-28,-25,-22,-24,-25,-25,-21,-18,-19,-20,-17,-23,-27,-27,-27,-29,-37,-38,-38,-24,-13,-17
27,-21,-32,-40,-42,-37,-31,-28,-31,-43,-49,-44,-34,-32,-29,-37,-35,-30,-20,-22,-21,-17,-8,-12,-14
28,-19,-20,-32,-40,-38,-30,-23,-24,-26,-31,-26,-29,-29,-23,-25,-34,-43,-47,-44,-45,-41,-38,-36,-28
29,-24,-28,-34,-36,-42,-42,-30,-43,-56,-66,-53,-50,-54,-51,-56,-51,-48,-40,-40,-39,-35,-30,-31,-30
30,-31,-29,-25,-29,-26,-27,-30,-29,-29,-29,-25,-27,-28,-30,-26,-25,-22,-29,-30,-28,-30,-28,-31,-35
