DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-31,-37,-31,-24,-20,-20,-22,-28,-28,-21,-17,-16,-18,-19,-19,-22,-24,-24,-28,-27,-26,-25,-23,-24
2,-22,-22,-18,-20,-20,-19,-19,-18,-17,-19,-17,-20,-17,-17,-16,-13,-13,-14,-17,-18,-17,-13,-10,-11
3,-11,-13,-16,-20,-26,-24,-22,-14,-17,-15,-12,-11,-11,-12,-11,-9,-11,-15,-19,-18,-14,-9,-6,-7
4,-7,-7,-7,-8,-6,-8,-8,-6,-8,-10,-8,-7,-4,-4,0,2,-1,-5,-9,-8,-9,-9,-22,-22
5,-18,-17,-14,-10,-7,-6,-7,-8,-10,-10,-10,-7,-4,-2,0,5,3,-2,-6,-6,-4,-2,-1,0

6,-2,-12,-14,-14,-18,-22,-19,-13,-15,-18,-19,-13,-9,-6,-7,-8,-9,-11,-10,-11,-12,-14,-13,-14
7,-14,-14,-11,-10,-6,-4,-3,-4,-7,-10,-10,-7,-5,-3,-5,-4,-8,-8,-9,-9,-7,-3,1,6
8,4,1,4,2,-2,-3,-4,-5,-6,-5,-3,-2,-1,-2,-2,-1,-1,-2,-3,-3,-2,3,5,3
9,-3,-7,-2,3,4,2,-2,-4,-2,0,3,4,4,1,2,3,1,3,4,3,6,9,12,9
10,8,3,5,7,9,9,8,6,6,6,7,9,10,9,10,10,10,10,11,11,13,15,12,0

11,-12,-11,-5,-1,-5,-17,-23,-21,-26,-19,-13,-16,-16,-10,-10,-16,-21,-28,-36,-33,-32,-29,-29,-25
12,-32,-30,-30,-38,-43,-42,-41,-42,-42,-32,-24,-26,-27,-27,-36,-28,-32,-33,-31,-30,-28,-25,-23,-27
13,-24,-21,-19,-23,-30,-29,-23,-19,-18,-18,-28,-37,-38,-37,-36,-30,-37,-44,-46,-44,-45,-39,-32,-41
14,-50,-47,-35,-37,-43,-57,-46,-38,-36,-33,-28,-30,-26,-27,-30,-29,-30,-25,-20,-29,-28,-19,-16,-18
15,-24,-37,-40,-43,-47,-46,-43,-39,-33,-28,-26,-30,-34,-36,-29,-33,-37,-44,-44,-38,-28,-23,-19,-17

16,-16,-18,-18,-18,-24,-24,-22,-20,-20,-24,-27,-24,-19,-14,-15,-17,-19,-18,-19,-20,-17,-12,-8,-10
17,-13,-15,-15,-16,-14,-12,-13,-13,-19,-22,-22,-20,-17,-17,-16,-17,-18,-19,-23,-25,-20,-14,-9,-11
18,-12,-14,-19,-18,-15,-14,-15,-15,-17,-17,-14,-12,-12,-11,-8,-6,-6,-4,-4,-3,-1,2,1,-6
19,-9,-10,-6,-4,-3,-9,-16,-21,-21,-26,-21,-12,-7,-5,-7,-8,-15,-20,-28,-27,-20,-13,-9,-13
20,-16,-14,-11,-11,-13,-20,-23,-20,-16,-14,-13,-11,-10,-8,-7,-6,-9,-11,-11,-9,-7,-6,-4,-5

21,-3,-2,-5,-6,-7,-5,2,3,1,-1,3,10,11,13,7,7,8,1,-4,-2,-4,-1,4,-1
22,-12,-18,-15,-17,-14,-15,-17,-16,-13,-11,-9,-8,-11,-12,-14,-11,-9,-9,-8,-5,1,9,15,6
23,7,4,5,4,3,-2,-2,0,-2,-4,-4,-4,0,-3,-6,-3,-2,-2,-1,0,-1,2,1,-1
24,0,1,3,3,3,2,3,1,9,13,17,19,5,4,-5,-12,-26,-20,-15,-17,-17,-12,-21,-18
25,-12,-14,-19,-26,-27,-22,-19,-24,-23,-22,-19,-15,-14,-15,-16,-15,-14,-12,-11,-7,-6,-9,-7,-7

26,-9,-13,-15,-15,-14,-13,-12,-13,-16,-17,-22,-33,-32,-42,-46,-38,-40,-38,-37,-31,-25,-19,-15,-15
27,-17,-17,-18,-22,-20,-19,-17,-20,-22,-21,-19,-16,-13,-11,-9,-8,-9,-10,-9,-11,-6,-3,1,-2
28,-5,-8,-7,-9,-12,-13,-17,-20,-20,-18,-16,-13,-12,-16,-14,-11,-10,-10,-11,-10,-8,-3,0,-1
29,-2,-6,-8,-7,-7,-7,-6,-7,-9,-10,-9,-5,-3,-3,-5,-6,-7,-6,-8,-9,-7,-2,0,-1
30,-3,-6,-8,-9,-11,-11,-10,-11,-10,-9,-6,-4,-2,-4,-3,-1,-3,-3,-3,-3,0,5,6,1

31,-2,-3,-4,-4,-5,-6,-6,-5,-5,-5,-3,-2,-1,1,3,5,5,5,4,4,6,11,10,8
