DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-40,-48,-50,-44,-38,-44,-47,-50,-48,-44,-35,-26,-23,-20,-19,-17,-17,-13,-11,-8,-6,-7,-7,-5
2,-7,-7,-7,-7,-3,-3,-4,2,6,8,7,12,14,16,13,9,8,9,3,6,8,-5,-13,-23
3,-37,-50,-52,-50,-48,-46,-40,-34,-31,-27,-21,-16,-13,-10,-9,-11,-16,-17,-17,-19,-16,-14,-12,-9
4,-7,-7,-7,-6,-6,-1,0,3,6,8,8,5,6,8,5,5,4,4,4,4,5,4,6,10
5,9,0,-3,-7,-4,-9,-11,-8,-7,-10,-8,-9,-7,-7,-6,-6,-10,-13,-15,-14,-10,-11,-8,-2

6,0,1,0,-4,-9,-11,-10,-8,-6,-5,-7,-4,-2,0,-1,-4,-6,-3,0,2,4,4,6,-1
7,-3,1,4,5,3,1,8,7,7,4,-3,-7,-9,-10,-11,-13,-15,-16,-19,-17,-14,-15,-17,-19
8,-26,-26,-26,-27,-29,-34,-35,-40,-35,-26,-22,-24,-24,-22,-23,-23,-24,-21,-16,-12,-10,-11,-11,-11
9,-7,-1,2,6,9,11,11,5,1,-9,-20,-15,-10,-8,-9,-9,-12,-11,-6,-1,0,-5,-9,-8
10,-9,-10,-8,-6,-5,-7,-12,-14,-21,-23,-18,-13,-10,-9,-11,-12,-11,-9,-6,-4,-7,-12,-15,-19

11,-19,-18,-16,-13,-12,-15,-20,-24,-29,-28,-25,-22,-16,-9,-14,-17,-22,-22,-16,-9,-9,-13,-26,-38
12,-40,-37,-26,-23,-18,-13,-8,-8,-6,-13,-32,-38,-27,-11,-8,-8,-8,-11,-8,4,16,18,16,17
13,16,13,13,23,26,18,-2,-6,0,-2,-7,-8,-4,4,8,4,-1,-1,-1,0,0,-3,-3,-4
14,-5,-5,-5,1,4,1,-4,-11,-16,-18,-17,-16,-15,-9,-7,-10,-13,-9,-6,-4,-4,-8,-7,-4
15,-6,-6,-5,-3,-6,-7,-4,-1,0,0,1,-1,-4,-3,0,0,-1,2,5,6,5,1,-11,-18

16,-27,-22,-19,-22,-20,-22,-17,-16,-6,-19,-23,-10,-19,-27,-22,-18,-29,-40,-42,-57,-48,-47,-46,-46
17,-42,-44,-34,-32,-26,-28,-38,-41,-40,-31,-31,-38,-38,-27,-29,-27,-26,-26,-26,-32,-39,-49,-49,-52
18,-57,-50,-46,-53,-52,-53,-54,-48,-48,-43,-45,-39,-33,-28,-26,-27,-29,-27,-33,-29,-31,-31,-24,-25
19,-27,-29,-28,-26,-23,-29,-33,-33,-31,-28,-23,-21,-23,-25,-26,-29,-30,-29,-31,-27,-27,-27,-24,-22
20,-25,-25,-24,-23,-22,-27,-26,-23,-22,-20,-19,-19,-19,-18,-19,-18,-19,-18,-19,-19,-17,-18,-15,-12

21,-8,-9,-8,-11,-12,-14,-12,-14,-14,-14,-13,-11,-9,-8,-10,-10,-11,-12,-13,-13,-14,-11,-9,-7
22,-7,-6,-4,-4,-5,-3,0,3,2,2,2,2,3,3,1,-2,0,0,0,0,0,0,0,-1
23,-1,-2,-4,-3,-3,-3,-4,-2,0,0,-1,1,1,3,2,1,-2,-4,-7,-4,-5,-8,-8,-11
24,-9,-9,-12,-10,-9,-12,-16,-14,-13,-15,-11,-11,-12,-10,-5,-4,-5,-4,-3,-3,-6,-7,-6,-6
25,-3,0,2,4,6,6,1,1,1,2,3,5,3,2,4,5,4,6,3,7,14,18,13,3

26,-2,-5,-7,-4,-3,-10,-8,-5,-3,-1,-1,0,-3,-1,0,1,-1,0,-1,0,2,3,8,11
27,12,12,12,10,4,-2,-7,-6,-3,-1,-2,-5,-3,1,5,5,4,5,6,5,6,7,10,11
28,10,6,4,5,7,9,9,7,9,10,12,11,7,2,0,3,4,5,5,5,5,3,-2,-4
29,-3,-1,0,1,4,5,5,7,5,2,2,4,4,7,12,15,16,18,21,25,28,24,15,5
