DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,0,-1,0,-1,-1,0,1,1,-1,-3,-1,-1,-2,2,4,6,6,8,6,5,3,2,3
2,7,7,8,8,8,20,17,15,16,22,29,34,40,43,48,39,41,31,30,34,36,22,-6,-14
3,-12,1,13,10,4,-16,-42,-36,-25,-37,-51,-51,-37,-44,-50,-51,-47,-46,-37,-32,-30,-28,-27,-26
4,-22,-20,-21,-22,-22,-21,-15,-19,-21,-26,-21,-16,-14,-14,-24,-30,-27,-25,-26,-22,-19,-16,-14,-15
5,-13,-12,-13,-9,-15,-22,-25,-25,-28,-25,-24,-21,-17,-16,-18,-19,-18,-15,-12,-13,-15,-22,-27,-24

6,-19,-20,-20,-18,-18,-18,-18,-19,-22,-20,-21,-23,-19,-19,-19,-20,-23,-17,-10,-7,-8,-11,-20,-17
7,-15,-17,-16,-16,-14,-16,-15,-15,-13,-11,-12,-8,-8,-14,-10,-15,-14,-6,-2,-4,-6,-5,-14,-19
8,-17,-17,-22,-25,-27,-27,-24,-22,-18,-13,-9,-4,0,0,-5,-12,-22,-19,-17,-9,-4,-5,-9,-10
9,-7,-5,-6,-5,-8,-9,-9,-7,-7,-12,-15,-14,-7,-11,-16,-20,-19,-19,-15,-9,-7,-11,-20,-23
10,-21,-16,-16,-13,-10,-13,-16,-18,-22,-29,-22,-18,-12,-12,-14,-15,-13,-15,-16,-15,-18,-24,-21,-21

11,-16,-10,-7,-5,-4,-6,-5,-4,-1,-2,-5,-5,-6,-4,-2,-1,-4,-11,-16,-15,-16,-12,-15,-13
12,-10,-14,-21,-22,-27,-27,-18,-18,-19,-18,-16,-15,-14,-15,-16,-15,-14,-12,-12,-9,-11,-13,-13,-12
13,-10,-11,-13,-13,-12,-14,-13,-10,-11,-11,-10,-10,-10,-7,-8,-11,-14,-15,-14,-11,-13,-15,-16,-14
14,-9,-4,0,-1,-1,-2,0,-2,-2,0,0,0,-1,-2,-4,-2,-2,-2,-4,-6,-3,-2,-4,-4
15,-4,-4,-5,-4,-3,-5,-6,-4,-3,-5,-4,-3,-2,-1,-1,0,-1,-2,-2,0,1,2,1,1

16,2,1,2,1,-1,-4,-6,-5,-5,-4,-2,-2,0,-5,-5,-5,0,6,10,14,17,13,1,-8
17,0,11,11,6,2,-1,-4,-4,-3,-2,-4,-4,-5,-5,-2,-3,-2,0,1,-5,-7,-10,-16,-15
18,-12,-11,-10,-14,-21,-20,-22,-24,-24,-22,-16,-11,-9,-7,-11,-13,-8,-5,-3,-7,-10,-14,-12,-10
19,-6,-6,-6,-2,1,1,1,0,-6,-9,-10,-7,-6,-5,-6,-9,-9,-5,-4,-4,-6,-8,-9,-10
20,-11,-11,-13,-11,-7,-5,-6,-8,-10,-5,0,2,2,0,1,2,4,6,8,8,5,3,2,1

21,1,1,2,7,9,14,17,18,19,17,21,24,23,24,21,11,17,16,13,14,11,5,-1,-3
22,-2,-4,-5,-4,-1,1,2,0,0,0,0,4,5,5,3,1,-1,-3,-3,0,-1,-3,-6,-9
23,-11,-9,-7,-5,-2,1,4,8,8,10,10,15,2,-13,-24,-30,-27,-28,-30,-44,-63,-74,-65,-48
24,-36,-41,-38,-37,-33,-34,-35,-29,-26,-23,-28,-34,-39,-33,-29,-27,-25,-28,-27,-28,-31,-30,-28,-23
25,-18,-17,-20,-21,-19,-19,-12,-12,-19,-22,-19,-18,-16,-14,-20,-19,-18,-18,-12,-16,-14,-13,-16,-15

26,-23,-20,-23,-20,-16,-13,-8,-3,-2,-3,-3,-5,-7,-9,-10,-13,-15,-14,-14,-12,-8,-6,-5,-6
27,-9,-9,-8,-11,-13,-12,-7,-5,-5,-6,-6,-10,-9,-8,-9,-7,-4,-2,-4,-4,-4,-2,0,-1
28,-1,-1,-2,-1,-2,-3,-3,-2,-3,-3,-4,-8,-7,-5,-2,-1,1,3,4,4,6,11,12,12
29,8,5,5,4,6,8,11,13,13,15,20,20,13,11,4,0,1,2,2,3,1,6,8,9
30,6,-1,-10,-8,-8,-9,-10,-16,-15,-7,-2,-1,-3,-6,-21,-28,-20,-12,-11,-16,-18,-22,-16,-12

31,-8,-11,-12,-8,-5,-7,-6,-4,1,6,7,5,2,0,0,1,2,6,4,-2,-11,-15,-17,-19
