DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24

1,-18,-16,-15,-19,-20,-19,-14,-12,-9,-8,-8,-8,-11,-12,-13,-9,-8,-9,-8,-7,-10,-7,-3,-4
2,-4,-6,-6,-6,-7,-10,-9,-6,-7,-8,-8,-10,-12,-12,-12,-11,-10,-8,-7,-6,-6,-4,-3,-4
3,-6,-4,-2,-2,-4,-4,-3,-2,0,0,0,2,2,1,-1,0,1,0,-1,-2,-1,-1,-2,-1
4,-2,-4,-4,-2,-1,2,1,1,2,4,5,8,10,13,12,10,8,7,7,6,3,6,7,13
5,16,14,14,11,12,16,20,30,32,13,6,9,10,19,5,-11,-14,-8,-5,-6,-23,-31,-23,-28

6,-26,-30,-38,-38,-37,-41,-44,-46,-45,-39,-38,-32,-33,-31,-29,-29,-30,-31,-31,-26,-21,-15,-15,-14
7,-14,-18,-19,-16,-14,-13,-13,-13,-12,-13,-12,-15,-15,-15,-17,-13,-12,-9,-10,-11,-12,-17,-19,-22
8,-24,-25,-25,-31,-31,-27,-22,-16,-14,-15,-15,-15,-16,-16,-15,-15,-14,-11,-10,-11,-12,-10,-9,-14
9,-16,-17,-17,-18,-15,-14,-13,-11,-10,-10,-9,-10,-12,-12,-13,-12,-11,-11,-10,-11,-7,-6,-6,-5
10,-6,-4,-7,-5,-6,-5,-4,-3,-6,-3,3,9,16,19,14,12,15,16,15,17,16,8,10,7

11,3,-9,-10,-7,-8,-9,-13,-13,-14,-13,-10,-12,-11,-8,-6,-4,-10,-8,-1,0,3,0,-2,-1
12,3,4,1,-1,-1,0,-7,-11,-3,4,4,6,8,7,2,3,4,8,4,7,6,3,-2,-3
13,-3,1,-1,-1,-1,-1,-2,-1,-2,-5,-4,2,3,5,3,2,2,1,-1,-2,-5,-3,-1,1
14,-1,-5,-11,-4,-3,-2,-1,0,3,1,2,5,12,13,12,9,14,20,19,6,-2,-15,-18,-9
15,-8,-17,-22,-15,-15,-14,-15,-14,-14,-14,-13,-8,-3,1,3,5,1,-2,-3,-1,-2,-4,-5,-8

16,-6,-4,-4,-2,-1,-1,-5,-7,-6,-7,-6,-4,0,1,-3,-6,-5,-6,-6,-6,-4,1,3,0
17,-2,0,1,0,-1,-7,-15,-10,-9,-14,-15,-12,-5,-3,-2,-3,-5,-7,-9,-8,-7,-4,-3,-3
18,-8,-8,-5,-10,-17,-14,-10,-10,-8,-8,-10,-10,-7,-6,-7,-10,-7,-4,-2,-2,-4,-2,-2,-5
19,-9,-11,-10,-7,-7,-11,-11,-8,-7,-7,-4,-6,-7,-5,-2,0,1,0,-3,-4,-4,-3,-1,2
20,5,7,7,4,4,3,1,-1,-1,-2,0,0,1,1,1,2,2,3,3,3,4,0,-2,-4

21,-4,-4,-3,-1,1,1,1,-1,-3,-1,0,-1,-2,-3,0,0,1,3,4,4,5,3,2,2
22,1,0,-2,-1,2,7,5,5,7,11,14,13,13,12,11,12,12,11,7,-2,4,-11,-7,-11
23,-7,-8,-3,-6,-5,2,7,12,9,8,10,9,8,5,3,5,3,-2,-3,-1,0,2,0,-7
24,-19,-26,-30,-28,-17,-18,-26,-26,-20,-18,-15,-8,-8,-11,-13,-14,-15,-19,-20,-20,-18,-19,-21,-20
25,-19,-20,-22,-19,-20,-21,-21,-18,-14,-14,-14,-13,-10,-7,-10,-10,-10,-8,-6,-4,2,1,-4,-8

26,-5,-5,-5,-2,-1,2,-1,0,1,-3,-5,-4,1,0,-3,-3,-3,-1,-2,1,-1,-8,-14,-20
27,-25,-21,-18,-18,-17,-14,-15,-18,-12,-13,-10,-7,-7,-10,-9,-6,-5,-5,-5,-2,-3,-3,-8,-9
28,-7,-8,-8,-6,-8,-8,-11,-11,-11,-10,-5,-5,-4,-2,-3,-3,-5,-5,-2,1,1,2,1,-4
29,-6,-5,-5,-5,-5,-4,-2,-3,-5,-5,0,4,5,3,-1,-5,-6,-6,-6,-5,-3,1,1,-3
30,-5,-4,-3,-4,-2,-1,1,3,4,2,6,9,10,10,8,9,8,13,14,6,-2,-4,-4,-5
