DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24

1,0,3,7,4,1,-5,-9,-6,-4,-2,0,0,2,5,5,4,3,5,6,3,3,4,4,4
2,3,-1,0,-2,-3,-3,-7,-6,-5,-2,0,-3,-4,-3,-4,-4,-5,-4,-3,-4,-6,-5,-5,-6
3,-6,-4,-3,-1,-1,-2,-2,-1,-1,-1,0,0,-1,0,-2,-2,-1,1,2,3,3,5,4,4
4,4,5,6,6,6,7,5,5,4,4,2,2,4,3,5,7,12,16,18,18,17,16,15,13
5,13,11,12,10,5,4,3,1,3,6,8,7,10,8,5,4,6,3,3,4,5,5,2,7

6,12,13,13,13,14,14,13,13,14,14,16,13,-5,-8,-12,-11,-6,-3,-7,-10,-11,-10,-6,-2
7,1,0,-1,-4,-9,-12,-14,-16,-13,-12,-12,-13,-9,-4,0,-7,-9,-8,0,-1,-11,-10,-7,-7
8,-5,-8,-2,0,1,-3,-11,-8,-4,-3,-22,-17,-16,-17,-17,-24,-24,-24,-21,-18,-23,-19,-23,-21
9,-16,-15,-15,-11,-14,-9,-16,-21,-17,-10,-5,-8,-10,-11,-11,-13,-11,-18,-39,-41,-37,-34,-37,-32
10,-27,-27,-25,-25,-23,-23,-24,-27,-26,-23,-21,-21,-20,-18,-20,-23,-22,-20,-19,-21,-26,-24,-20,-17

11,-12,-9,-7,-9,-17,-16,-14,-16,-16,-18,-12,-12,-10,-8,-11,-19,-18,-16,-14,-13,-11,-7,-3,0
12,0,-4,-7,-8,-7,-11,-15,-16,-13,-10,-7,-6,-4,-5,-8,-8,-7,-6,-3,-3,-5,-4,-3,-1
13,-1,-1,-1,-2,-2,-6,-10,-12,-12,-10,-9,-10,-4,-3,-4,-3,-7,-8,-9,-8,-9,-8,-6,-6
14,-5,-2,0,-1,-4,-6,-9,-7,-4,-1,-1,-2,-3,-2,0,-1,-1,-3,-6,-10,-9,-6,-7,-6
15,-5,-7,-7,-5,-3,-3,-2,-2,0,2,-1,0,-1,0,1,-2,-3,-5,-5,-6,-5,-4,-5,-4

16,-2,0,-1,-3,-3,-4,-2,-1,1,2,3,2,3,4,4,3,2,4,4,3,2,1,4,5
17,6,6,7,7,5,4,3,4,3,4,6,4,1,3,9,8,3,1,1,-3,2,6,8,6
18,-3,-11,-9,-8,-12,-13,-20,-22,-13,-7,-6,-8,-10,-12,-13,-11,-12,-12,-9,-8,-5,-4,-8,-8
19,-7,-7,-3,-5,-6,-10,-13,-13,-14,-14,-13,-15,-17,-18,-17,-16,-15,-10,-9,-4,-2,-4,-3,-4
20,-7,-9,-8,-5,-6,-4,-6,-7,-9,-6,-5,-4,-5,-7,-6,-10,-13,-12,-3,-2,1,4,-2,-6

21,-9,-11,-10,-6,-3,-2,-7,-2,4,9,-3,-16,-15,-6,-16,-33,-33,-38,-30,-36,-40,-35,-33,-33
22,-30,-32,-39,-31,-27,-34,-40,-40,-37,-33,-34,-31,-27,-26,-31,-29,-27,-25,-26,-23,-24,-30,-28,-26
23,-24,-20,-25,-28,-23,-24,-26,-28,-22,-22,-21,-29,-24,-24,-24,-25,-26,-28,-29,-29,-39,-36,-33,-30
24,-27,-28,-32,-28,-23,-25,-27,-27,-28,-30,-24,-23,-21,-19,-14,-15,-18,-20,-23,-20,-16,-12,-10,-8
25,-6,-6,-13,-15,-9,-11,-16,-17,-18,-23,-29,-22,-21,-20,-20,-24,-29,-31,-30,-25,-19,-16,-19,-20

26,-22,-20,-18,-22,-23,-27,-25,-24,-24,-29,-29,-26,-30,-26,-26,-30,-32,-27,-23,-22,-22,-22,-21,-23
27,-21,-20,-22,-20,-18,-18,-21,-23,-20,-19,-17,-15,-14,-19,-19,-19,-17,-16,-16,-16,-15,-17,-19,-19
28,-17,-15,-15,-16,-14,-15,-16,-18,-17,-11,-7,-9,-10,-9,-10,-11,-13,-17,-15,-14,-12,-10,-7,-5
29,-5,-11,-13,-11,-10,-8,-10,-11,-13,-14,-10,-11,-14,-16,-17,-20,-24,-23,-20,-15,-13,-10,-8,-5
30,-4,-6,-7,-7,-8,-7,-6,-6,-7,-8,-7,-3,-3,-4,-4,-2,-4,-9,-12,-12,-9,-8,-4,-2

31,-3,-1,0,2,-2,-2,3,4,4,0,1,-12,-21,-30,-24,-23,-18,-16,-17,-19,-25,-24,-14,-10
