DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,9,11,9,7,7,5,10,6,8,12,14,14,13,8,3,-1,-5,-3,-7,-22,-28,-19,-14,-22
2,-24,-21,-25,-33,-23,-22,-24,-22,-22,-22,-19,-15,-11,-10,-10,-6,-14,-25,-27,-22,-23,-24,-21,-27
3,-25,-26,-29,-29,-26,-23,-25,-25,-20,-12,-10,-9,-7,-6,-4,-5,-9,-8,-6,-5,-5,-4,-4,-4
4,-4,-4,-5,-7,-7,-6,-5,-4,-3,-3,-4,-3,-3,-5,-8,-8,-7,-7,-6,-5,-5,-6,-6,-2
5,2,6,9,10,6,4,3,2,2,-4,-10,-9,-4,-4,-6,-7,-4,-6,-2,1,1,1,1,1

6,-1,2,2,4,4,2,1,-2,-2,-2,-1,-3,6,2,-3,-3,-3,-6,-18,-22,-23,-20,-22,-19
7,-21,-18,-11,-7,-4,-6,-3,-3,-5,-5,-3,-3,-7,-3,-5,-4,-10,-9,-5,0,0,-2,0,6
8,8,9,-13,-29,-41,-50,-57,-82,-83,-70,-67,-70,-62,-46,-33,-45,-67,-63,-61,-68,-75,-74,-62,-64
9,-77,-63,-52,-52,-53,-47,-42,-40,-41,-42,-39,-37,-32,-27,-26,-27,-30,-30,-32,-32,-39,-45,-44,-37
10,-32,-31,-29,-28,-28,-27,-34,-36,-34,-33,-27,-26,-23,-25,-27,-27,-23,-19,-18,-18,-20,-20,-21,-22

11,-24,-23,-24,-22,-18,-16,-15,-14,-13,-12,-13,-16,-17,-16,-24,-17,-18,-18,-19,-19,-18,-16,-17,-20
12,-18,-17,-18,-16,-13,-12,-12,-13,-13,-12,-9,-11,-14,-17,-17,-13,-12,-12,-11,-11,-9,-8,-10,-12
13,-13,-14,-16,-15,-11,-9,-8,-13,-12,-11,-12,-12,-14,-14,-16,-16,-18,-21,-24,-23,-23,-18,-15,-11
14,-15,-18,-21,-22,-21,-21,-18,-8,-1,-7,-5,3,4,0,1,1,1,-2,-8,-6,-5,-6,-3,-16
15,-23,-21,-18,-14,-11,-10,-12,-10,-4,1,7,12,9,-2,-12,-12,-7,-7,-12,-17,-12,-9,-8,-7

16,-6,-5,-11,-13,-9,-11,-8,-11,-6,-3,-6,-6,-8,-12,-11,-11,-15,-23,-19,-16,-12,-11,-13,-14
17,-15,-12,-7,-4,1,5,3,-1,0,1,-3,2,1,2,1,2,1,-4,-7,-8,-11,-17,-16,-13
18,-9,-6,-8,-9,-11,-17,-17,-13,-15,-12,-5,-2,-1,1,6,5,2,0,-1,-1,0,0,0,0
19,-1,2,3,3,5,5,3,5,2,-3,-4,-6,-9,-7,-5,-3,2,-3,-8,-8,-5,-3,0,4
20,8,1,1,1,3,4,1,2,3,3,4,6,6,9,5,4,3,1,1,8,11,11,13,14

21,16,21,20,14,10,12,-1,-14,-21,-19,-12,-8,-6,-6,-6,-10,-9,-6,-12,-11,-14,-14,-13,-9
22,-5,-4,-6,-9,-16,-15,-14,-10,-16,-12,-10,-7,-7,-5,0,2,-2,-6,-8,-10,-8,-7,-8,-7
23,-6,-6,-5,-5,-2,-2,-2,-1,-2,-3,-1,0,-1,0,1,2,0,-1,-2,-3,-4,-2,-2,-1
24,0,3,5,4,5,3,4,6,4,2,-1,-4,-4,-3,-1,1,1,1,2,4,2,0,1,2
25,5,6,5,6,6,5,4,4,2,3,4,6,9,13,15,11,9,9,9,9,7,6,5,6

26,4,5,8,10,10,10,11,10,12,14,11,11,12,13,14,13,15,17,18,18,16,16,19,21
27,22,21,18,15,3,-6,-4,2,5,9,10,5,0,-2,-1,-2,-4,-7,-2,5,9,11,5,9
28,3,0,1,3,1,-2,-12,-16,-2,-1,0,-2,-2,-3,-4,-1,-3,-8,-9,-11,-13,-17,-15,-11
29,-13,-12,-6,-5,-3,-2,0,3,-2,-8,-5,-3,-2,-3,-1,1,0,-2,-8,-12,-16,-20,-21,-16
30,-16,-16,-15,-14,-12,-11,-12,-8,-11,-13,-10,-7,-4,-2,2,4,3,3,3,0,-4,-6,-7,-6

31,-3,1,-1,-1,-1,-2,-1,-3,-6,-3,-2,4,6,9,8,2,-3,-3,-5,-1,-3,-12,-16,-13
