DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24

1,7,5,3,1,-2,-3,-2,-1,-4,-7,-4,-2,1,0,-1,2,-1,-3,-5,-1,4,9,10,9
2,7,3,2,3,5,6,6,4,3,4,4,8,10,7,3,0,-1,0,3,6,6,6,8,8
3,6,2,-3,-5,-6,-6,-7,-7,-6,-5,-5,-1,0,0,1,2,0,1,2,6,9,9,10,12
4,13,11,11,12,15,15,13,5,0,-2,3,7,5,4,11,16,22,4,-19,-33,-37,-37,-27,-17
5,-18,-23,-26,-29,-26,-21,-17,-23,-30,-33,-30,-26,-21,-15,-16,-16,-25,-26,-19,-21,-16,-19,-23,-21

6,-20,-20,-18,-16,-14,-19,-20,-31,-27,-27,-27,-23,-22,-19,-17,-17,-22,-21,-21,-17,-13,-10,-6,-7
7,-9,-8,-7,-6,-6,-9,-10,-12,-13,-13,-11,-3,-5,-9,-11,-18,-16,-16,-15,-13,-14,-12,-10,-9
8,-10,-11,-9,-8,-8,-11,-10,-10,-12,-13,-8,-2,0,-2,-3,-3,-7,-7,-4,-2,0,1,4,3
9,-2,-7,-8,-8,-6,-4,-2,-2,-5,-5,-4,-1,2,1,0,0,-4,-4,-2,2,4,6,9,11
10,11,9,9,8,8,8,6,3,0,0,4,9,10,7,3,0,-5,-7,-8,-5,-4,-3,5,4

11,2,-2,0,4,14,15,15,6,-1,-7,-7,-4,1,-2,-1,-4,-5,-5,-5,0,10,13,18,16
12,6,-1,-3,-3,-8,-14,-18,-19,-18,-17,-11,-4,-2,-4,-1,-1,-3,-5,-20,-24,-18,-15,-8,-5
13,-4,-4,-2,-3,-2,-2,-3,-8,-12,-9,-6,0,-1,-5,-5,-4,-7,-4,-6,-5,-2,-1,2,3
14,4,1,-3,-1,0,-1,-3,-5,-6,-7,-5,-2,1,1,0,0,-3,-4,-1,1,5,9,13,11
15,12,9,8,7,7,6,5,4,0,-1,1,8,11,7,8,5,4,5,9,13,13,13,18,16

16,14,13,12,10,8,8,9,10,7,6,5,3,2,3,4,4,0,0,2,6,11,19,31,34
17,29,26,18,12,16,10,-7,-6,-5,-8,-5,-5,-14,-10,-4,-12,-19,-16,-17,-13,-18,-13,-10,-12
18,-15,-12,-10,-9,-12,-12,-13,-22,-20,-22,-20,-18,-15,-14,-16,-14,-13,-8,-8,-6,-4,0,3,4
19,3,3,2,2,3,2,-1,-6,-10,-11,-8,-4,-2,-4,-4,-2,-3,-2,-4,-6,-8,-9,-12,-11
20,-9,-11,-10,-11,-10,-8,-5,-6,-9,-12,-9,1,3,4,4,2,-3,-1,-1,3,7,9,9,8

21,5,1,0,1,2,1,-1,-4,-10,-8,-4,0,1,-2,-2,-1,-3,-2,0,2,5,7,9,8
22,5,3,3,3,3,3,4,4,3,3,5,9,10,9,9,10,7,7,9,12,14,16,17,17
23,16,13,12,11,13,10,9,6,-1,-4,-1,3,0,0,1,0,-2,-1,3,8,13,18,20,21
24,21,17,16,18,23,25,26,19,11,10,10,-4,-11,-6,-7,-6,-7,-4,0,0,-4,-6,-4,-4
25,2,1,0,-2,-3,-4,-6,-8,-11,-7,-1,3,7,6,3,-1,-12,-20,-24,-18,-15,-14,-13,-17

26,-18,-18,-15,-11,-12,-13,-13,-13,-15,-13,-10,-4,1,0,-3,0,1,-1,0,-4,-6,-2,0,0
27,-1,-4,-2,-3,-4,-6,-2,0,1,-4,-5,-1,1,1,3,5,3,4,2,0,1,4,6,7
28,8,5,1,1,1,-1,-2,-4,-7,-8,-5,-1,2,2,4,1,-3,-6,-4,-4,-2,5,5,7
29,9,6,4,2,2,0,-2,-4,-5,-4,2,8,10,5,3,5,6,4,3,5,12,16,18,19
30,19,13,10,9,11,11,11,8,5,4,6,9,7,6,6,3,-3,-5,-4,-2,1,7,12,13

31,14,12,11,8,7,5,7,6,5,4,9,14,13,11,10,10,8,8,15,22,21,17,11,8
