DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,5,4,-1,-1,1,3,5,8,10,12,12,8,7,3,4,8,11,13,12,10,8,9,12,11
2,1,-6,-15,-3,-6,0,2,2,-2,-3,2,8,9,10,14,15,14,13,10,8,7,4,4,-9
3,-19,-19,-15,-16,-15,-16,-14,-19,-19,-16,-15,-15,-15,-13,-10,-7,-8,-10,-11,-7,-4,0,2,1
4,1,1,3,0,-2,-4,-4,-7,-12,-12,-8,-5,-4,-3,-3,-3,-7,-10,-10,-9,-6,-2,-2,-2
5,-3,-8,-8,-7,-7,-7,-6,-5,-4,-2,1,2,0,-4,-6,-4,-6,-5,-4,-2,0,5,6,2

6,-1,-2,-1,2,2,0,0,-2,-3,-2,2,6,9,8,7,7,7,7,7,8,10,16,17,15
7,14,13,18,26,28,22,6,8,-6,-34,-41,-43,-35,-30,-18,-22,-31,-34,-43,-47,-48,-63,-63,-52
8,-55,-72,-65,-65,-67,-63,-55,-52,-51,-56,-51,-51,-57,-62,-63,-64,-65,-59,-53,-46,-47,-45,-40,-34``
9,-35,-40,-42,-44,-42,-44,-44,-47,-52,-53,-42,-39,-39,-42,-42,-41,-39,-38,-41,-42,-32,-24,-26,-21
10,-18,-19,-24,-26,-24,-25,-37,-47,-45,-37,-36,-30,-31,-29,-27,-29,-30,-26,-27,-26,-28,-21,-17,-21

11,-21,-22,-20,-21,-24,-27,-28,-29,-31,-29,-22,-21,-20,-21,-23,-23,-23,-20,-17,-11,-6,-6,-5,-7
12,-11,-13,-11,-11,-14,-14,-13,-15,-19,-20,-19,-18,-16,-16,-17,-17,-20,-18,-15,-12,-11,-10,-5,-6
13,-7,-11,-13,-13,-11,-10,-8,-9,-13,-14,-9,-6,-7,-14,-17,-17,-17,-16,-15,-11,-7,-1,1,0
14,-5,-10,-7,-9,-3,-5,-13,-20,-23,-24,-18,-8,-3,-5,-8,-12,-23,-29,-33,-31,-25,-19,-18,-18
15,-20,-19,-17,-16,-18,-21,-27,-29,-33,-32,-13,-6,-12,-11,-8,-5,-8,-19,-12,-1,8,0,4,7

16,5,-2,-10,-11,-13,-11,-18,-20,-29,-31,-22,-16,-14,-13,-14,-14,-16,-16,-18,-17,-14,-7,-6,-5
17,-7,-10,-12,-12,-13,-13,-14,-18,-23,-22,-18,-7,-6,-4,-1,-1,-3,-4,-3,-2,3,6,2,-5
18,-7,-12,-11,-12,-13,-15,-13,-13,-17,-13,-8,-4,-2,-2,-2,-1,-4,-5,-7,-8,-8,-3,1,2
19,2,1,-3,-5,-6,-4,-1,-2,-5,-4,2,5,6,6,5,4,2,1,3,4,4,7,11,9
20,6,6,4,5,5,4,5,3,3,4,7,10,10,9,11,13,15,19,12,4,10,17,20,9

21,-16,-18,-9,-15,-21,-29,-42,-42,-37,-37,-33,-24,-17,-18,-21,-23,-22,-22,-22,-28,-18,-12,-14,-11
22,-13,-15,-11,-11,-16,-20,-22,-25,-25,-19,-15,-11,-7,-6,-12,-18,-23,-26,-27,-24,-24,-17,-9,-7
23,-8,-10,-11,-11,-11,-12,-10,-12,-17,-19,-13,-10,-10,-10,-10,-10,-13,-13,-12,-15,-14,-10,-7,-6
24,-6,-8,-12,-14,-15,-16,-16,-19,-21,-18,-14,-8,-5,-2,1,1,-1,0,-4,-7,-12,-10,-13,-15
25,-13,-8,-10,-15,-20,-22,-21,-22,-21,-20,-18,-16,-17,-19,-17,-15,-16,-13,-10,-7,-4,-1,0,0

26,0,-1,-1,-1,-1,-1,1,-1,-2,-3,-1,2,2,-2,-7,-10,-10,-9,-8,-5,-1,7,10,11
27,11,9,12,14,12,11,11,11,9,7,5,8,14,16,20,18,11,4,0,2,7,16,21,19
28,10,-9,-17,-16,-10,-6,-9,-12,-15,-16,-12,-13,-13,-9,-6,-3,-3,4,4,6,9,13,15,16
29,15,9,5,3,3,2,-2,-8,-6,-4,1,7,8,5,6,5,5,4,4,8,8,8,8,12
30,16,16,11,-2,-3,-1,4,2,0,-2,-1,2,0,0,0,-3,-11,-12,-11,-10,-11,-6,-3,2

