DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-41,-32,-27,-27,-33,-31,-32,-31,-26,-23,-24,-22,-25,-27,-21,-21,-17,-22,-31,-39,-35,-28,-29,-29
2,-29,-25,-25,-21,-21,-28,-25,-20,-22,-19,-24,-25,-23,-19,-18,-15,-13,-12,-12,-19,-28,-31,-27,-23
3,-18,-14,-12,-13,-16,-23,-30,-27,-22,-16,-17,-21,-21,-17,-14,-15,-18,-17,-20,-22,-26,-25,-23,-22
4,-25,-33,-42,-44,-43,-39,-34,-31,-37,-44,-39,-30,-30,-21,-19,-18,-18,-22,-25,-27,-24,-23,-34,-31
5,-25,-25,-31,-33,-30,-27,-26,-23,-20,-18,-18,-23,-23,-21,-21,-18,-14,-14,-15,-12,-11,-16,-18,-17

6,-14,-17,-16,-14,-11,-11,-11,-11,-8,-6,-7,-11,-11,-8,-4,-4,-7,-11,-11,-9,-7,-4,-8,-11
7,-16,-19,-21,-19,-17,-13,-13,-14,-12,-10,-9,-9,-9,-8,-8,-10,-11,-12,-14,-16,-12,-10,-9,-9
8,-9,-9,-10,-10,-12,-14,-18,-17,-15,-11,-12,-17,-17,-14,-12,-12,-14,-14,-15,-12,-12,-11,-10,-7
9,-7,-7,-6,-6,-8,-11,-12,-13,-14,-15,-16,-17,-18,-17,-16,-14,-12,-7,-3,-2,-1,-1,-1,-4
10,-5,-8,-5,-3,-12,-13,-13,-14,-11,-8,-6,-11,-13,-13,-10,-10,-14,-19,-17,-12,-15,-14,-13,-10

11,-7,-8,-7,-6,-2,-1,-4,-2,0,2,0,-2,-3,-2,1,1,2,3,2,2,1,-2,-1,1
12,0,0,-4,-3,-1,-1,1,2,3,4,5,3,0,0,1,-1,-2,-2,-4,-6,-8,-5,11,21
13,20,17,26,21,15,11,8,-14,-31,-42,-47,-60,-61,-65,-81,-92,-99,-104,-99,-89,-91,-94,-97,-104
14,-97,-84,-79,-80,-77,-74,-71,-69,-62,-54,-43,-40,-38,-32,-29,-32,-32,-27,-25,-21,-16,-17,-16,-12
15,-11,-15,-14,-12,-10,-14,-17,-18,-20,-17,-19,-24,-22,-15,-9,-8,-12,-19,-17,-15,-16,-18,-20,-19

16,-17,-17,-14,-13,-11,-11,-15,-13,-12,-12,-12,-12,-8,-9,-18,-14,-11,-12,-21,-20,-19,-18,-17,-13
17,-10,-7,-8,-10,-10,-17,-22,-23,-18,-19,-17,-13,-16,-12,-11,-14,-18,-14,-16,-15,-21,-27,-24,-19
18,-21,-19,-16,-17,-21,-19,-15,-17,-21,-23,-19,-19,-19,-15,-13,-13,-12,-12,-11,-9,-12,-16,-17,-17
19,-12,-8,-8,-8,-8,-10,-10,-12,-15,-14,-15,-13,-12,-8,-6,-6,-8,-6,-7,-6,-5,-5,-7,-9
20,-9,-9,-9,-10,-7,-4,-1,1,0,2,4,4,3,2,3,4,3,1,-1,-1,2,2,3,3

21,4,6,6,4,2,1,3,3,3,3,5,7,7,8,8,8,7,6,6,6,3,1,0,0
22,-2,0,4,8,12,15,16,15,10,8,7,10,13,11,6,5,3,2,0,1,4,7,5,-1
23,0,2,5,8,8,10,4,-6,-5,-1,-1,-4,-4,0,2,0,-2,-3,-4,-4,-4,-6,-9,-10
24,-15,-16,-18,-19,-20,-23,-21,-25,-24,-21,-19,-18,-23,-22,-24,-28,-30,-29,-23,-17,-21,-25,-33,-31
25,-26,-27,-28,-32,-27,-23,-25,-34,-41,-33,-24,-33,-33,-43,-52,-49,-49,-60,-53,-56,-58,-46,-56,-54

26,-49,-44,-48,-51,-51,-50,-40,-41,-43,-39,-32,-33,-30,-26,-34,-45,-49,-44,-45,-42,-42,-44,-44,-39
27,-38,-36,-33,-38,-40,-42,-39,-34,-42,-36,-36,-33,-38,-37,-35,-40,-44,-49,-40,-32,-35,-36,-42,-44
28,-41,-33,-35,-36,-38,-37,-35,-37,-38,-37,-29,-29,-28,-25,-25,-23,-29,-25,-24,-24,-29,-36,-36,-34
29,-34,-43,-56,-64,-57,-58,-59,-63,-52,-41,-43,-46,-40,-38,-37,-38,-38,-36,-39,-39,-36,-31,-28,-29
30,-29,-26,-32,-39,-41,-36,-36,-37,-40,-39,-27,-25,-34,-39,-34,-30,-27,-32,-35,-35,-31,-31,-27,-25

31,-25,-26,-29,-28,-27,-24,-26,-30,-31,-24,-24,-22,-23,-20,-19,-23,-24,-23,-20,-17,-16,-15,-16,-17

