DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24

1,1,1,2,3,8,3,6,14,10,4,-12,-7,-15,-16,-19,-36,-43,-34,-28,-31,-44,-61,-55,-49
2,-49,-51,-48,-38,-36,-39,-41,-42,-41,-36,-37,-41,-39,-37,-36,-37,-38,-36,-33,-32,-34,-33,-27,-24
3,-27,-33,-33,-26,-26,-28,-33,-34,-37,-37,-46,-37,-30,-31,-33,-33,-39,-40,-31,-24,-20,-18,-16,-17
4,-19,-22,-27,-26,-31,-38,-36,-30,-30,-31,-26,-24,-19,-22,-26,-28,-28,-28,-24,-19,-19,-26,-30,-30
5,-27,-23,-22,-20,-18,-21,-26,-23,-17,-13,-15,-17,-15,-17,-19,-19,-21,-24,-26,-22,-20,-23,-25,-25

6,-25,-25,-25,-25,-21,-18,-16,-13,-19,-25,-24,-26,-29,-29,-30,-30,-32,-29,-26,-24,-23,-26,-27,-23
7,-21,-22,-23,-26,-26,-26,-19,-15,-22,-27,-24,-20,-19,-19,-21,-21,-22,-24,-19,-25,-28,-27,-23,-17
8,-22,-25,-26,-22,-21,-20,-19,-15,-13,-16,-11,-11,-11,-14,-13,-12,-11,-10,-13,-20,-19,-19,-19,-23
9,-21,-25,-23,-26,-27,-25,-21,-18,-18,-19,-21,-19,-18,-23,-27,-31,-32,-27,-25,-20,-16,-20,-14,-12
10,-12,-13,-18,-25,-26,-20,-20,-20,-27,-28,-18,-21,-21,-22,-22,-22,-23,-22,-20,-16,-14,-15,-14,-16

11,-19,-20,-18,-16,-14,-11,-12,-14,-12,-13,-10,-7,-7,-9,-12,-14,-17,-17,-18,-18,-20,-19,-14,-15
12,-16,-21,-22,-22,-21,-22,-22,-20,-22,-22,-17,-15,-16,-16,-18,-19,-19,-18,-17,-17,-18,-17,-14,-13
13,-12,-12,-12,-10,-8,-5,-6,-4,-5,-4,-3,-2,-1,2,2,2,1,-1,-2,-2,-2,-1,-1,-2
14,-2,-4,-8,-8,-8,-9,-7,-6,-7,-6,-6,-5,-2,-4,-6,-6,-6,-5,-6,-5,-6,-5,-3,-2
15,-1,-3,-4,-2,-4,-6,-6,-4,-1,1,7,15,12,7,4,6,5,7,6,4,4,6,2,-3

16,-3,-11,-17,-18,-15,-11,-8,-5,-7,-9,-9,-5,-5,-7,-6,-4,-2,-1,-2,0,-4,-8,-9,-8
17,-5,-4,-3,-4,-4,-1,1,1,2,3,3,2,0,-1,-1,0,0,0,1,3,1,-2,-4,-6
18,-5,-5,-2,-1,-1,-1,-1,3,4,2,0,0,-3,-3,-3,-2,-1,1,2,1,0,1,4,4
19,3,3,5,4,5,3,0,1,2,3,3,5,5,3,2,1,-1,-1,-1,0,2,3,0,-2
20,-2,-2,-3,-1,1,1,1,2,1,-1,-2,0,2,4,6,5,5,3,3,3,5,6,5,9

21,9,15,19,20,13,15,16,-2,0,5,11,7,3,-3,-9,-13,-24,-19,-27,-21,-20,-19,-12,-21
22,-18,-18,-13,-11,-13,-20,-14,-11,-14,-13,-18,-22,-17,-14,-16,-15,-19,-24,-24,-18,-16,-18,-24,-35
23,-35,-31,-30,-34,-30,-26,-22,-20,-18,-15,-9,-4,-1,-3,-6,-4,-8,-12,-7,1,4,6,4,4
24,5,4,1,-3,-3,-6,-5,-7,-7,-6,-6,-4,-5,-6,-6,-2,-3,-4,-3,-4,-4,-5,-6,-8
25,-8,-7,-4,-4,-4,-6,-5,-3,-4,-7,-8,-5,-5,-6,-5,-5,-7,-8,-6,-3,-1,-3,-7,-9

26,-10,-9,-7,-5,-2,-4,-6,-3,-3,-2,-2,0,-2,-4,-3,-1,-2,-1,0,3,9,14,15,11
27,12,9,6,3,-1,-18,-32,-27,-23,-35,-53,-42,-43,-64,-74,-71,-73,-60,-48,-51,-47,-44,-34,-36
28,-44,-50,-50,-45,-46,-46,-38,-32,-33,-38,-32,-29,-28,-31,-26,-28,-31,-30,-30,-33,-31,-29,-27,-28
29,-37,-37,-34,-31,-30,-28,-32,-31,-34,-30,-33,-27,-22,-21,-27,-30,-31,-27,-23,-18,-18,-24,-28,-27
30,-29,-32,-31,-27,-26,-33,-30,-23,-21,-23,-21,-20,-22,-23,-19,-19,-16,-18,-22,-26,-24,-30,-33,-38

31,-31,-31,-36,-34,-36,-33,-37,-29,-31,-29,-26,-25,-25,-27,-26,-31,-32,-31,-26,-20,-25,-23,-22,-23
