DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-7,-7,-5,-2,-1,-1,-1,1,4,5,3,1,2,0,0,0,-1,0,0,0,2,6,9,9
2,6,3,0,0,1,1,0,2,4,5,5,6,13,26,35,13,3,-16,-30,-30,-38,-42,-55,-56
3,-50,-47,-45,-39,-34,-38,-36,-38,-27,-21,-25,-24,-20,-16,-15,-15,-17,-21,-26,-32,-36,-35,-28,-27
4,-22,-22,-24,-23,-18,-18,-22,-21,-19,-16,-16,-13,-11,-13,-15,-16,-15,-12,-9,-10,-16,-19,-15,-13
5,-12,-12,-13,-12,-11,-13,-12,-10,-7,-5,-9,-11,-10,-8,-10,-11,-13,-14,-14,-17,-14,-15,-11,-10

6,-7,-8,-7,-8,-10,-8,-5,-6,-5,-9,-11,-7,-1,-3,-6,-8,-8,-11,-13,-15,-18,-20,-21,-20
7,-14,-11,-9,-1,1,3,5,6,2,4,8,12,17,18,17,17,16,16,4,-25,-53,-60,-56,-58
8,-60,-56,-44,-38,-30,-34,-29,-22,-18,-19,-18,-17,-15,-11,-12,-13,-14,-16,-16,-17,-17,-18,-19,-19
9,-18,-15,-13,-9,-6,-4,-4,-5,-4,-2,-1,-2,-2,-3,-4,-3,-3,-4,-3,-2,1,1,0,-2
10,-2,-3,-3,-2,-3,-3,-9,-11,-10,-2,6,13,16,14,6,6,8,8,5,0,0,-1,-8,-7

11,-5,-3,-3,-2,-1,0,5,11,11,10,4,5,7,7,7,5,3,9,5,1,0,5,2,-3
12,-1,-4,-10,-13,-6,-4,1,3,3,4,-2,-5,-8,-13,-10,-7,-4,-7,-10,-6,-8,-18,-32,-41
13,-45,-54,-54,-50,-54,-55,-50,-42,-39,-29,-25,-26,-29,-28,-31,-34,-34,-30,-29,-39,-34,-30,-28,-33
14,-32,-34,-31,-27,-28,-28,-26,-19,-12,-15,-26,-36,-30,-33,-42,-46,-46,-48,-48,-55,-59,-56,-48,-42
15,-40,-43,-35,-29,-28,-26,-22,-21,-19,-15,-16,-13,-9,-3,2,4,3,0,-1,3,2,-3,-4,-4

16,-3,-5,-7,-9,-9,-8,-8,-9,-14,-18,-17,-14,-6,-3,-6,-10,-13,-13,-22,-35,-53,-55,-52,-43
17,-37,-32,-17,-21,-28,-28,-29,-27,-25,-23,-25,-24,-18,-8,-11,-15,-16,-14,-14,-8,-11,-13,-4,1
18,4,0,-10,-10,-8,-7,-8,-3,2,1,-3,-6,-7,-6,-6,-6,-6,-7,-9,-12,-12,-11,-10,-8
19,-7,-7,-7,-9,-11,-10,-9,-5,-2,1,-1,-3,-4,-3,-1,1,1,2,3,3,2,0,2,4
20,4,5,3,2,1,-1,0,-3,-7,-10,-9,-6,-5,-3,-4,-7,-6,-5,-5,-6,-8,-7,-4,-2

21,-1,-2,-2,-3,-2,1,7,10,14,17,7,6,9,10,13,12,14,12,8,6,4,6,9,8
22,8,1,-1,0,1,3,2,7,11,13,12,14,22,22,9,8,3,5,3,1,-2,-12,-11,-9
23,-9,-10,-8,-11,-9,-2,5,7,10,11,11,6,6,2,1,8,12,16,14,1,-2,-12,-12,-7
24,-2,1,2,-2,-4,-5,-6,-2,2,4,4,0,2,3,-4,-6,-13,-10,-6,-12,-11,-12,-9,-6
25,-5,-4,-1,0,-1,-3,-3,-2,-2,0,-1,1,4,7,4,0,1,3,2,1,-2,-4,-4,-4

26,-4,-3,-1,-2,-2,-1,2,4,6,4,1,-2,3,3,1,4,5,5,4,3,-5,-11,-4,1
27,4,5,6,2,-2,-2,-3,-4,-2,1,2,0,0,3,1,1,2,5,6,0,-8,-15,-15,-9
28,-3,-2,-1,0,3,3,1,0,-2,-5,-4,-5,-1,1,4,5,6,6,3,-1,-2,-1,0,-1
29,-1,-2,0,3,5,4,6,8,9,8,7,8,10,11,13,14,14,15,18,19,17,13,11,10
30,11,13,15,17,18,20,21,25,19,15,12,7,6,5,6,6,5,3,-3,-9,-11,-10,-12,-7
